Name,Pos,Age,Frame,Athl,Levers,Arm,Perf,Delivery,playerId
Gunnar Henderson,3B,21.2777777,1,,Med,60,1,,26289
Eury Perez,SP,19.4833333,2,2,Long,,2,2,sa3014807
Gabriel Moreno,C,22.6527777,1,2,Short,60,1,,22664
Corbin Carroll,LF,22.1333333,-1,1,Short,40,2,,25878
Jackson Chourio,CF,18.5777777,1,2,Med,40,,,sa3015704
Elly De La Cruz,SS,20.7444444,2,2,Long,70,1,,sa3009289
Grayson Rodriguez,SP,22.8972222,1,1,Med,,2,-1,sa3008130
Jordan Walker,RF,20.3805555,2,1,Long,60,2,,sa3014464
James Wood,CF,20.0611111,1,1,Long,40,1,,sa3016870
Anthony Volpe,2B,21.4472222,,,Short,45,2,,sa3010868
Andrew Painter,SP,19.4972222,2,1,Med,,1,1,sa3017880
Francisco Alvarez,C,20.8888888,-1,1,Short,55,2,,26121
Daniel Espino,SP,21.7611111,1,2,Med,,1,,sa3011495
Noelvi Marte,SS,20.9805555,2,1,Med,60,,,sa3008745
Josh Jung,3B,24.6583333,2,1,Med,60,2,,26299
Druw Jones,CF,18.8638888,2,2,Long,60,1,,
Jackson Holliday,SS,18.8472222,1,1,Med,55,2,,sa3020241
Marco Luciano,SS,21,1,,Med,50,1,,sa3010022
Marcelo Mayer,SS,19.825,2,,Med,60,1,,sa3017114
Mick Abel,SP,21.1416666,2,1,Med,,,1,sa3014534
Kyle Harrison,SP,21.1583333,-1,,Med,,2,,sa3014513
Jackson Merrill,SS,19.4722222,,,Med,55,1,,sa3016829
Curtis Mead,LF,21.9527777,1,1,Med,30,2,,sa3008392
Brooks Lee,SS,21.6527777,-1,-1,Med,55,2,,sa3019973
Brandon Pfaadt,SP,23.9833333,,1,Med,,2,,sa3014983
Cade Cavalli,SP,24.1527777,1,1,Med,,1,-1,27473
Termarr Johnson,2B,18.3277777,-1,2,Short,50,2,,sa3020214
Taj Bradley,SP,21.5527777,1,1,Med,,1,1,sa3007839
Jack Leiter,SP,22.4666666,,1,Short,,1,2,sa3018053
DL Hall,MIRP,24.0555555,-1,1,Short,,1,-1,22207
Diego Cartaya,C,21.0888888,2,1,Long,70,,,sa3008742
Ronny Mauricio,SS,21.5138888,2,1,Long,60,,,sa3006887
Endy Rodriguez,C,22.425,,1,Med,50,,,sa3008272
Pete Crow-Armstrong,CF,20.5388888,,1,Med,55,,,sa3014458
Triston Casas,1B,22.7333333,,-1,Med,50,2,,22514
Henry Davis,C,23.05,,,Med,70,2,,sa3017042
Brennen Davis,RF,22.9361111,2,2,Long,60,1,,sa3007876
Zac Veen,RF,20.825,2,1,Long,55,,,sa3014516
Bobby Miller,SP,23.5111111,1,1,Long,,1,-1,sa3014422
Bo Naylor,C,22.6333333,,1,Med,55,1,,21865
Jordan Lawlar,SS,20.2277777,1,1,Med,50,,,sa3017662
Tyler Soderstrom,1B,20.875,1,,Med,45,2,,sa3014489
Colton Cowser,CF,22.5527777,-1,1,Med,50,1,,sa3017018
Luis Matos,CF,20.6972222,,2,Short,50,1,,sa3008756
Jasson Dominguez,CF,19.6722222,-1,2,Short,60,-1,,sa3014696
Ezequiel Tovar,SS,21.1888888,,1,Short,50,,,24064
Brayan Rocchio,SS,21.7388888,-1,1,Short,50,1,,sa3005898
Oswald Peraza,SS,22.3166666,-1,1,Short,55,1,,22823
Luis Ortiz,SIRP,23.7,-1,1,Med,,2,,27646
Shane Baz,SP,23.3111111,2,1,Med,,1,,22264
Brett Baty,3B,22.9055555,1,,Med,55,1,,26123
Coby Mayo,RF,20.8305555,2,1,Long,60,1,,sa3014479
Kevin Alcantara,CF,20.2416666,2,2,Long,55,-1,,sa3008752
Masyn Winn,SS,20.55,,2,Med,80,1,-1,sa3014506
Colson Montgomery,3B,20.6166666,2,1,Long,55,,,sa3017170
Cristian Hernandez,SS,18.8222222,1,1,Long,60,,,sa3015696
Jackson Jobe,SP,20.1916666,,1,Med,,,,sa3018054
Miguel Bleis,RF,18.6055555,1,1,Long,55,,,sa3016834
Junior Caminero,3B,19.2611111,,,Med,60,,,sa3015532
Logan O'Hoppe,C,22.6666666,1,1,Long,50,1,,24729
Logan Allen,SP,24.0944444,-1,1,Short,,2,1,sa3014444
Owen White,SP,23.1666666,1,1,Med,,,1,sa3014481
Drew Romo,C,21.1111111,2,1,Med,70,1,,sa3014522
Robert Hassell III,RF,21.15,1,1,Med,60,1,,sa3014701
Maikel Garcia,SS,22.6,,1,Med,60,,,22715
Zach Neto,2B,21.6916666,,,Short,50,2,,sa3019855
Tanner Bibee,SP,23.5944444,,,,,,,sa3018170
Ken Waldichuk,SP,24.7527777,,1,Long,,2,1,27681
Royce Lewis,SS,23.3444444,2,1,Long,50,-2,,20437
Ivan Herrera,C,22.3555555,,1,Short,60,2,,20599
Jonathan Aranda,1B,24.3777777,,,Med,40,,,21837
Kyle Manzardo,1B,22.225,,,Short,,,,sa3017342
Tyler Freeman,2B,23.3833333,-1,-1,Short,45,2,,22532
Michael Busch,DH,24.9166666,,-1,Med,30,2,,sa3011540
Andy Pages,RF,21.8361111,1,1,Med,60,1,,sa3005625
Colt Keith,3B,21.1527777,1,,Med,60,,,sa3014474
Gordon Graceffo,SP,22.5611111,,,Med,,2,,sa3016849
Joey Wiemer,RF,23.6611111,2,2,Long,70,1,,sa3014531
Alex Ramirez,CF,19.7388888,2,1,Long,55,-1,,sa3014695
Joseph Ortiz,SS,24.2361111,,1,Med,55,,,sa3009889
Brice Turang,SS,22.8833333,1,1,Long,55,1,,sa3008294
Jose Salas,SS,19.4527777,2,,Med,50,,,sa3014690
Matthew Liberatore,SP,22.925,2,1,Long,,1,-1,22294
Nolan Jones,RF,24.4222222,2,1,Long,70,1,,20529
Kevin Parada,LF,21.1833333,1,,Med,45,2,,sa3020575
Austin Martin,CF,23.5444444,,1,Short,45,2,,sa3014454
Quinn Priester,SP,22.0666666,2,1,Long,,,-1,sa3011297
Liover Peguero,2B,21.775,,1,Short,55,1,,24273
Nick Yorke,2B,20.5194444,-1,-1,Med,30,1,,sa3014546
James Triantos,2B,19.6944444,-1,,Med,40,2,,sa3017295
Luis Medina,MIRP,23.4333333,1,1,Long,,-1,,sa928510
Gavin Stone,SP,23.9833333,1,1,Med,,1,2,sa3014810
Hunter Brown,SIRP,24.1111111,1,1,Med,,,,25880
Cole Henry,MIRP,23.2333333,,,Long,,1,-1,sa3014446
Drey Jameson,MIRP,25.1444444,,2,Long,,1,-1,26260
Orelvis Martinez,3B,20.8888888,1,1,Med,55,,,sa3010692
Brady House,3B,19.3472222,2,,Long,60,2,,sa3017694
George Valera,RF,21.9055555,-1,,Med,60,1,,sa3006872
Owen Caissie,LF,20.2527777,2,,Long,60,1,,sa3014465
Nick Gonzales,2B,23.3666666,-1,,Short,45,1,,sa3014510
Jacob Berry,DH,21.4277777,-1,-2,Short,50,2,,sa3019825
Dillon Dingler,C,24.0611111,1,1,Short,60,,,sa3014528
Xavier Edwards,2B,23.1666666,-1,1,Short,45,1,,sa3007018
Heriberto Hernandez,LF,22.8138888,-1,-1,Short,40,1,,sa3005630
Brandon Williamson,SP,24.5194444,1,1,Med,,,1,sa3011494
Cole Winn,SP,22.8722222,1,,Med,,1,1,sa3008662
Dylan Lesko,SP,19.0888888,1,1,Long,,1,1,
Greg Jones,CF,24.5888888,1,2,Med,55,-1,,sa3010151
Wikelman Gonzalez,SP,20.5388888,1,1,Long,,,1,sa3008687
Jake Eder,SIRP,24,1,,Long,,,-1,sa3014917
Max Meyer,SP,23.575,,2,Short,,1,,27474
Yiddi Cappe,SS,20.1444444,2,1,Long,60,-1,,sa3015515
Ian Lewis,2B,19.6805555,,2,Short,50,,,sa3014691
Matt Fraizer,CF,24.7416666,,,Short,45,,,sa918983
Evan Carter,CF,20.1111111,1,,Med,50,1,,sa3014490
Brock Porter,SP,19.35,2,1,Long,,,-1,
Peyton Graham,SS,21.7027777,2,1,Long,70,1,,sa3019990
Sal Frelick,CF,22.4722222,-1,1,Short,50,1,,sa3017047
Garrett Mitchell,CF,24.0972222,1,1,Med,55,1,,27555
Cade Horton,SP,21.1361111,,1,Med,,-1,1,
Ricky Tiedemann,SP,20.1416666,1,,Med,,-1,,sa3018096
Harry Ford,C,19.6333333,,1,Short,50,1,,sa3017627
Alec Marsh,SP,24.4027777,1,,Med,,1,,sa1159950
Bryan Ramos,3B,20.575,1,1,Med,60,1,,sa3010024
Cristhian Vaquero,CF,18.0722222,2,2,Long,60,,,sa3018403
Elijah Green,CF,18.8472222,2,2,Long,60,,,sa3020210
Matt Allan,SP,21.4777777,1,-1,Long,,,,sa3011740
